query,tmdb_id,title,year,language,vote_average,vote_count,genres,country,keywords,crew,overview
custom,31011,Mr. Nobody,2009,en,7.795,6209,"Science Fiction, Drama, Romance",,"[""time travel"", ""surrealism"", ""time"", ""choice"", ""free will"", ""multiple storylines"", ""curious"", ""shocking"", ""complex"", ""loving"", ""2090s"", ""depressing"", ""ambiguous"", ""irreversible process"", ""entropy""]","{""director"": [""Jaco Van Dormael""], ""writers"": [""Jaco Van Dormael""], ""cinematographer"": [""Christophe Beaucarne""], ""composer"": [""Pierre van Dormael""], ""editor"": [""Susan Shipton"", ""Matyas Veress""]}","Nemo Nobody leads an ordinary existence with his wife and 3 children; one day, he wakes up as a mortal centenarian in the year 2092."
custom,438631,Dune,2021,en,7.781,14878,"Science Fiction, Adventure",,"[""empire"", ""future"", ""army"", ""based on novel or book"", ""prophecy"", ""dystopia"", ""emperor"", ""sand"", ""spice"", ""chosen one"", ""hallucinogen"", ""treason"", ""baron"", ""revenge"", ""premonition"", ""betrayal"", ""space"", ""water shortage"", ""creature"", ""desert"", ""knife fight"", ""destiny"", ""giant worm"", ""space opera"", ""sand dune"", ""messiah"", ""mother son relationship"", ""giant creature"", ""complicated"", ""dune"", ""best picture nominee"", ""oscar winner""]","{""director"": [""Denis Villeneuve""], ""writers"": [""Eric Roth"", ""Denis Villeneuve"", ""Jon Spaihts""], ""cinematographer"": [""Greig Fraser""], ""composer"": [""Hans Zimmer""], ""editor"": [""Joe Walker""]}","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
custom,165,Back to the Future Part II,1989,en,7.781,13919,"Adventure, Comedy, Science Fiction",,"[""flying car"", ""skateboarding"", ""car race"", ""lightning"", ""guitar"", ""inventor"", ""time travel"", ""diner"", ""car crash"", ""sequel"", ""alternate history"", ""thunderstorm"", ""tunnel"", ""high school dance"", ""angry"", ""hoverboard"", ""2010s"", ""lighthearted"", ""enthusiastic""]","{""director"": [""Robert Zemeckis""], ""writers"": [""Bob Gale""], ""cinematographer"": [""Dean Cundey""], ""composer"": [""Alan Silvestri""], ""editor"": [""Harry Keramidas"", ""Arthur Schmidt""]}","Marty and Doc are at it again as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again."
custom,14069,The Girl Who Leapt Through Time,2006,ja,7.8,2247,"Fantasy, Animation, Drama, Science Fiction",,"[""high school"", ""time travel"", ""surrealism"", ""love"", ""slice of life"", ""teenage girl"", ""school"", ""schoolgirl"", ""jumping from height"", ""teenage romance"", ""anime"", ""time-manipulation"", ""japanese high school"", ""teen adventure"", ""psychological drama"", ""familiar""]","{""director"": [""Mamoru Hosoda""], ""writers"": [""Satoko Okudera""], ""cinematographer"": [""Yoshihiro Tomita""], ""composer"": [""Kiyoshi Yoshida""], ""editor"": [""Shigeru Nishiyama""]}","When 17-year-old Makoto Konno gains the ability to 'leap' backwards through time, she immediately sets about improving her grades and preventing personal mishaps. However, she soon realises that changing the past isn't as simple as it seems, and eventually, will have to rely on her new powers to shape the future of herself and her friends."
custom,593,Solaris,1972,ru,7.766,1832,"Drama, Science Fiction, Mystery",,"[""loss of sense of reality"", ""based on novel or book"", ""extraterrestrial technology"", ""1970s"", ""subconsciousness"", ""soviet union"", ""hallucination"", ""space travel"", ""astronaut""]","{""director"": [""Andrei Tarkovsky""], ""writers"": [""Andrei Tarkovsky"", ""Fridrikh Gorenshteyn""], ""cinematographer"": [""Vadim Yusov""], ""composer"": [""Vyacheslav Ovchinnikov"", ""Eduard Artemyev""], ""editor"": [""Nina Marcus"", ""Lyudmila Feiginova""]}",A psychologist is sent to a space station orbiting a planet called Solaris to investigate the death of a doctor and the mental problems of cosmonauts on the station. He soon discovers that the water on the planet is a type of brain which brings out repressed memories and obsessions.
custom,728754,Stand by Me Doraemon 2,2020,ja,7.765,245,"Animation, Adventure, Comedy, Science Fiction, Drama, Family, Fantasy",,"[""gadget"", ""time travel"", ""school"", ""based on manga"", ""anime"", ""based on anime""]","{""director"": [""Takashi Yamazaki"", ""Ryuichi Yagi""], ""writers"": [""Takashi Yamazaki""], ""cinematographer"": [], ""composer"": [""Naoki Sato""], ""editor"": [""Ryuichi Yagi""]}","Nobita travels to the future to show his beloved grandma his bride, but adult Nobita has fled his own wedding."
custom,26662,Detective Conan: The Phantom of Baker Street,2002,ja,7.8,233,"Animation, Mystery, Science Fiction",,"[""london, england"", ""virtual reality"", ""detective"", ""game"", ""shounen"", ""anime"", ""suspense"", ""mystery""]","{""director"": [""Kenji Kodama""], ""writers"": [""Hisashi Nozawa""], ""cinematographer"": [""Motoaki Ikegami""], ""composer"": [], ""editor"": []}","Noah's Ark, the latest innovation in VR technology, is set for a showcase to Japan's privileged children. However, their carefree fun is cut short when a company employee is found murdered, with his dying message pointing to a clue hidden within the Ark.  Along with the Detective Boys and Ran Mouri, Conan Edogawa enters Noah's Ark to solve this mystery and ensure the perpetrator is caught."
custom,29452,The Face of Another,1966,ja,7.8,281,"Drama, Science Fiction",,"[""mask"", ""japan"", ""dual identity"", ""based on novel or book"", ""identity crisis"", ""black and white"", ""japanese new wave"", ""experimental surgery"", ""science experiment""]","{""director"": [""Hiroshi Teshigahara""], ""writers"": [""K\u014db\u014d Abe""], ""cinematographer"": [""Hiroshi Segawa""], ""composer"": [""Toru Takemitsu""], ""editor"": [""Yoshi Sugihara""]}","A businessman with a disfigured face obtains a lifelike mask from his new doctor, but the mask starts altering his personality and causing him to question his identity."
custom,1242898,Predator: Badlands,2025,en,7.741,2928,"Action, Science Fiction, Adventure",,"[""survival"", ""outcast"", ""alien planet"", ""team up"", ""vibrant"", ""hostile alien wilderness"", ""relentless hunt"", ""intense creature combat"", ""deadly pursuit"", ""invisible predator"", ""territorial threat"", ""unexpected alliances"", ""hostile terrain"", ""unknown world"", ""deadly environment"", ""hunter vs hunted"", ""stealth pursuit""]","{""director"": [""Dan Trachtenberg""], ""writers"": [""Patrick Aison""], ""cinematographer"": [""Jeff Cutter""], ""composer"": [""Sarah Schachner"", ""Benjamin Wallfisch""], ""editor"": [""Stefan Grube"", ""David Trachtenberg""]}","Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary."
custom,123025,"Batman: The Dark Knight Returns, Part 1",2012,en,7.734,1704,"Science Fiction, Action, Animation, Mystery",,"[""future"", ""dystopia"", ""based on graphic novel"", ""super power"", ""dreary""]","{""director"": [""Jay Oliva""], ""writers"": [""Bob Goodman""], ""cinematographer"": [], ""composer"": [""Christopher Drake""], ""editor"": [""Christopher D. Lozinski""]}","Batman has not been seen for ten years. A new breed of criminal ravages Gotham City, forcing 55-year-old Bruce Wayne back into the cape and cowl. But, does he still have what it takes to fight crime in a new era?"
